                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.80233,                 0.5378,                 1.1039,                0.99483,                      1,                  0.995,                0.78314,                0.79097,                0.40505,                0.92342,              0.0008714,              0.0008714,              0.0008714
                     59,                0.80931,                 0.5423,                 1.1253,                0.99402,                      1,                  0.995,                0.87114,                0.64714,                0.42118,                 0.8606,              0.0008516,              0.0008516,              0.0008516
                     60,                0.73832,                0.53763,                 1.0961,                0.99354,                      1,                  0.995,                0.79313,                0.89052,                0.48083,                0.93447,              0.0008318,              0.0008318,              0.0008318
                     61,                0.80093,                0.56726,                 1.1203,                0.99361,                      1,                  0.995,                0.85218,                0.83137,                0.50328,                0.92715,               0.000812,               0.000812,               0.000812
                     62,                0.78304,                0.55434,                 1.1202,                0.99159,                      1,                  0.995,                0.84196,                 0.6853,                0.48817,                0.90657,              0.0007922,              0.0007922,              0.0007922
                     63,                0.74491,                0.50864,                 1.0737,                0.98982,                      1,                  0.995,                0.83395,                0.69398,                0.47535,                0.91865,              0.0007724,              0.0007724,              0.0007724
                     64,                0.78569,                0.53999,                 1.1005,                0.99086,                      1,                  0.995,                 0.8374,                0.66536,                 0.4372,                0.89235,              0.0007526,              0.0007526,              0.0007526
                     65,                0.76067,                0.52953,                 1.0881,                0.99429,                      1,                  0.995,                0.84709,                0.61481,                0.42439,                0.85396,              0.0007328,              0.0007328,              0.0007328
                     66,                0.77272,                0.54837,                 1.0966,                0.99438,                      1,                  0.995,                0.84942,                 0.6059,                0.37997,                0.85068,               0.000713,               0.000713,               0.000713
                     67,                0.71732,                0.50715,                  1.054,                0.99498,                      1,                  0.995,                0.80816,                0.72026,                0.38906,                0.90456,              0.0006932,              0.0006932,              0.0006932
                     68,                0.77113,                0.52722,                 1.1015,                 0.9938,                      1,                  0.995,                0.83398,                0.63048,                0.35982,                 0.8827,              0.0006734,              0.0006734,              0.0006734
                     69,                0.73767,                0.53396,                 1.0823,                0.99277,                      1,                  0.995,                0.87431,                 0.5481,                0.37805,                0.86518,              0.0006536,              0.0006536,              0.0006536
